ID,Condition1,Condition2,Condition3,Condition4
1,487.9293425061458,492.9055996248749,499.92395244289025,488.6539195646615
2,502.7742924211066,494.9874193940524,517.7708444814342,508.7820362695229
3,510.84441176683055,483.709065309213,488.6139226324909,509.7291675337612
4,476.5430229737065,488.3238073790581,513.6782717942326,521.2111710537567
5,504.2912468881105,478.19960351051327,513.2956479078236,504.14523534374985
6,505.06055892157576,486.5900680789997,503.36472797203817,495.2528152647064
7,494.2526003986535,497.0570614123629,500.06892838441956,500.6599349370446
8,494.5336814421581,495.3410245959389,495.44531261838574,494.9752221760613
9,494.35548000906715,514.4949626528713,496.33476067126065,491.74001412870666
10,491.09962170955896,489.31357276325417,506.48286567503146,501.6698927975298
11,495.22807300246455,491.4463536626249,520.7027086133095,491.0373537375524
12,490.01613555140295,497.1937699804255,498.4660158753303,501.68185387655757
13,492.2374610536201,490.0565992370434,486.0929905329851,503.5496826101485
14,500.64458817276267,490.31485682127953,492.76418222889845,499.4789488312887
15,509.59494058970773,488.92681807358235,502.58261762167854,498.0406538128375
16,498.89714505609226,487.4801411436106,496.829408850388,493.5093024839424
17,494.8899049419336,494.76171881012647,498.22210042335706,488.90232768601265
18,490.8880458337019,495.031500427333,498.3000592314546,508.49274202655056
19,491.6282831973106,481.93968743198053,486.2769811412331,500.22362526076023
20,524.1583517848934,494.1792407531067,498.26212829585967,508.31140617306835
21,501.3408822015203,488.9111037557322,508.5023225712188,487.5571214865577
22,495.09314103309055,489.85037990507993,506.97608711668255,501.69026413766176
23,495.59452127646773,498.3769047644318,505.499973510911,506.7316630694768
24,504.5958944100585,505.6305581899452,495.97268024552375,499.73723623551473
25,493.06279753062523,516.4781747281506,498.08406229521523,498.08607831443976
26,485.5179508961353,492.26646576056305,488.05472120397485,492.1809335330012
27,505.74755720900725,516.059096288573,499.4684118125668,520.5816198776349
28,489.7634427703612,488.4219145230559,502.55196000995835,507.5050145315583
29,499.8486169963582,506.56588464332805,517.0596400724007,518.2420830237829
30,490.64051398831606,525.4899107071785,510.01513252363446,500.80059641091987
31,511.02297546200265,499.65239610196164,495.0441655699854,493.68590701033634
32,495.2440692113094,493.30366420338044,503.5555029699975,484.8671187996627
